V23,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V17,V16,V18,V19,V20,V21,V22
VWTV013,0,0,999,0,0,5,5,2,0,0,0,0,25,1,1,1,1,3,999,3,1,999
VWTV014,5,0,1,5,5,5,5,2,5,5,2,2,21,1,1,1,1,3,999,3,1,999
VWTV015,5,0,0,5,5,999,5,999,999,2,999,0,20,2,1,1,1,3,999,4,1,999
VWTV016,0,0,0,5,5,0,5,2,2,0,999,5,20,1,1,1,1,3,999,4,1,999
VWTV017,5,0,1,5,5,0,5,2,0,5,5,5,20,1,1,1,1,3,999,3,1,999
VWTV018,0,0,0,5,5,5,5,2,2,5,0,5,19,1,1,1,1,2,999,4,1,999
VWTV019,0,5,0,5,5,5,5,0,2,999,0,999,999,1,1,1,1,3,999,4,1,999
VWTV020,0,5,2,5,0,0,0,0,999,0,999,0,20,2,1,1,1,3,999,4,1,999
VWTV021,5,0,3,5,5,0,5,2,2,0,0,0,23,1,1,1,1,3,999,3,1,999
VWTV022,5,0,1,5,5,2,2,2,2,5,0,999,31,1,1,1,1,5,5,4,1,999
VWTV023,0,0,999,0,0,999,0,999,999,999,999,999,999,1,1,1,1,5,999,4,1,999
VWTV024,0,5,1,0,0,5,5,2,0,0,999,0,19,1,1,1,1,1,999,4,1,999
VWTV025,0,0,0,5,5,5,0,0,0,0,0,999,19,1,1,1,1,3,999,3,1,999
VWTV026,5,5,2,5,5,5,5,0,0,5,0,0,999,2,1,1,1,3,5,2,2,999
VWTV027,0,0,999,5,5,2,5,999,999,999,999,999,20,1,1,1,1,3,999,4,1,999
VWTV028,0,0,999,5,5,2,0,0,0,999,999,0,19,1,1,1,1,3,999,4,1,999
VWTV029,5,999,5,5,5,5,5,999,999,999,999,0,999,2,1,1,1,1,999,4,1,999
027_CHG_BScN_S,5,0,0,5,5,0,0,2,0,999,999,2,24,1,2,3,2,4,999,4,2,80
025_CHG_BScN_J,0,5,1,5,5,5,5,2,5,0,2,2,39,1,2,3,2,4,999,4,2,60
026_CHG_BScN_J,0,5,1,5,5,2,0,2,2,0,0,0,21,1,2,3,2,1,4,4,2,60
028_CHG_BScN_S,5,5,4,5,5,2,2,5,5,2,2,0,35,1,2,3,2,4,999,4,2,50
029_CHG_BScN_S,5,5,4,5,5,5,5,2,2,0,2,0,35,1,2,3,2,4,5,4,2,80
030_CHG_BScN_J,5,0,4,5,5,0,5,999,999,999,999,999,33,1,2,3,2,4,999,4,2,60
031_CHG_BScN_J,5,5,3,5,5,5,5,5,5,2,2,0,999,999,2,3,2,999,999,999,999,999
032_CHG_BScN_J,5,0,1,5,5,0,5,999,999,999,999,999,31,2,2,3,2,5,999,4,2,100
033_CHG_BScN_S,0,0,0,0,0,5,0,2,0,0,0,2,28,2,2,3,2,4,999,4,2,80
034_CHG_BScN_J,5,5,4,5,5,5,5,2,0,0,0,0,29,1,2,3,2,3,999,4,2,40
036_CHG_BScN_J,0,5,1,5,5,5,5,5,5,2,2,0,26,1,2,3,2,4,3,4,2,60
037_CHG_BScN_S,5,5,5,5,0,5,5,2,5,0,0,0,37,1,2,3,2,4,5,4,1,999
038_CHG_BScN_J,5,5,4,0,0,5,0,999,999,999,999,999,26,1,2,3,2,4,1,4,2,60
039_CHG_BScN_J,5,5,0,5,5,5,5,2,999,0,999,0,26,2,2,3,2,4,999,4,2,80
040_CHG_BScN_J,5,5,0,5,5,5,5,5,5,2,5,0,38,1,2,3,2,4,999,4,2,50
041_CHG_BScN_S,5,5,5,0,0,5,5,0,0,0,0,0,26,1,2,3,2,4,999,4,2,60
043_CHG_BScN_S,5,0,0,5,5,5,5,2,2,0,0,0,40,2,2,3,2,4,999,3,2,80
044_CHG_BScN_J,5,0,0,5,5,5,5,0,0,0,0,0,26,1,2,3,2,2,4,4,2,100
046_CHG_BScN_S,5,5,0,5,5,0,5,5,0,999,999,999,51,1,2,3,2,4,999,4,2,40
047_CHG_BScN_J,5,5,4,5,5,5,5,5,2,0,2,5,36,1,2,3,2,4,999,2,1,999
048_CHG_BScN_S,5,5,4,5,5,2,2,5,0,0,0,0,25,1,2,3,2,4,999,4,2,60
049_CHG_BScN_S,5,0,4,0,0,0,2,0,0,0,2,999,42,1,2,2,2,2,4,3,2,90
050_CHG_BScN_I,5,5,0,0,999,5,5,2,0,999,2,999,34,1,2,2,2,4,5,2,2,60
